National Library of New Zealand	Papers Past	26577755
National Library of New Zealand	Evening Post	3772941
National Library of New Zealand	Otago Daily Times	1583125
National Library of New Zealand	Wanganui Chronicle	1163217
National Library of New Zealand	Hawera & Normanby Star	1075326
National Library of New Zealand	Marlborough Express	1036166
National Library of New Zealand	Auckland Star	1005149
National Library of New Zealand	Colonist	999872
National Library of New Zealand	Poverty Bay Herald	963395
National Library of New Zealand	Grey River Argus	890905
National Library of New Zealand	Thames Star	869635
National Library of New Zealand	Ashburton Guardian	830871
National Library of New Zealand	Star	819679
National Library of New Zealand	Wanganui Herald	784091
National Library of New Zealand	Nelson Evening Mail	693164
National Library of New Zealand	Taranaki Herald	677704
National Library of New Zealand	Feilding Star	650958
National Library of New Zealand	Otago Witness	603649
National Library of New Zealand	Wairarapa Daily Times	575596
National Library of New Zealand	West Coast Times	534690
National Library of New Zealand	Taranaki Daily News	525341
National Library of New Zealand	Hawke's Bay Herald	445395
National Library of New Zealand	Southland Times	418609
National Library of New Zealand	North Otago Times	417958
National Library of New Zealand	Timaru Herald	406184
National Library of New Zealand	Bay Of Plenty Times	371855
National Library of New Zealand	Mataura Ensign	363231
National Library of New Zealand	Daily Telegraph	332729
National Library of New Zealand	Northern Advocate	327513
National Library of New Zealand	Daily Southern Cross	279640
National Library of New Zealand	Bush Advocate	231016
National Library of New Zealand	Tuapeka Times	230544
National Library of New Zealand	Bruce Herald	221282
National Library of New Zealand	Clutha Leader	216282
National Library of New Zealand	Manawatu Standard	210799
National Library of New Zealand	Ellesmere Guardian	207019
National Library of New Zealand	NZ Truth	169139
National Library of New Zealand	Ohinemuri Gazette	168704
National Library of New Zealand	Observer	167452
National Library of New Zealand	Akaroa Mail and Banks Peninsula Advertiser	163792
National Library of New Zealand	Manawatu Times	140493
National Library of New Zealand	Wellington Independent	135064
National Library of New Zealand	New Zealand Tablet	134145
National Library of New Zealand	Inangahua Times	120497
National Library of New Zealand	Waikato Times	93891
National Library of New Zealand	Rodney and Otamatea Times, Waitemata and Kaipara Gazette	87830
National Library of New Zealand	Nelson Examiner and New Zealand Chronicle	82989
National Library of New Zealand	Manawatu Herald	80758
National Library of New Zealand	Otautau Standard and Wallace County Chronicle	63907
National Library of New Zealand	Lyttelton Times	35715
National Library of New Zealand	Te Aroha News	34064
National Library of New Zealand	New Zealand Free Lance	30376
National Library of New Zealand	Hutt News	18776
National Library of New Zealand	Kaipara and Waitemata Echo	17861
National Library of New Zealand	New Zealand Spectator and Cook's Strait Guardian	17774
