National Library of New Zealand+    Library    NZ    26586200    1839    2018
National Library of New Zealand    Library    NZ    7070    1839    2018
Radio New Zealand	Media	NZ	596527	1965	2106
Alexander Turnbull Library	Library	NZ	358310	-1	3005
NatureWatch NZ		NZ	314050	1917	206
Auckland War Memorial Museum Tamaki Paenga Hira	Museum	NZ	272028	100	960
Auckland Libraries	Library	NZ	222690	-14	2061
Department of Internal Affairs	Government	NZ	202742	1993	2018
Victoria University of Wellington	University	NZ	187193	1011	2039
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Archives	NZ	145487	1884	2014
UC QuakeStudies	University	NZ	135781	1882	2027
Puke Ariki		NZ	132288	1550	961
Museum of New Zealand Te Papa Tongarewa	Museum	NZ	125555	-1	2040
The University of Auckland Library	Library	NZ	122660	137	7430
Ministry for Culture and Heritage	Government	NZ	120608	1642	2030
Trove	Aggregator	AU	117520	1000	2037
Nelson Provincial Museum	Museum	NZ	103027	1762	2018
Upper Hutt City Library	Library	NZ	80615	1333	2066
TV3	Media	NZ	79850	2009	2018
Television New Zealand	Media	NZ	71136	2010	2017
Antarctica New Zealand		NZ	54553		
University of Otago	University	NZ	45007	-13	9894
New Zealand Electronic Text Collection	Archives	NZ	42009	1778	2009
Kete Christchurch	Community	NZ	41502	1800	8083
Christchurch City Libraries	Library	NZ	39087	152	2105
V.C. Browne & Son		NZ	0		
mychillybin	Commercial	NZ	30556	2007	2011
Kete New Plymouth	Community	NZ	30514	1758	2015
Kete Horowhenua	Community	NZ	28448	1335	8970
Lincoln University	University	NZ	24569	1879	2018
Auckland Art Gallery Toi o Tāmaki	Gallery	NZ	15644	1881	2018
Canterbury Museum	Museum	NZ	15762	1023	800
University of Waikato	University	NZ	15466	1771	2018
Wairarapa Archive	Archives	NZ	15248	1788	2012
University of Canterbury Library	Library	NZ	14848	1914	2018
Tauranga City Libraries	Library	NZ	14776	1300	2018
Landcare Research	Government	NZ	14312	1883	2016
Gisborne Photo News	Media	NZ	14190	1954	1975
Wikipedia	Aggregator	US	14168		
Science Media Centre		NZ	11877	2007	2018
SOUNZ		NZ	10993	2007	2018
MTG Hawke's Bay		NZ	10390	1031	2018
Palmerston North Libraries and Community Services	Library	NZ	10650	1804	2107
Massey University	University	NZ	10307	2008	2016
Hutt City Council	Government	NZ	9823	1863	2005
South Canterbury Museum	Museum	NZ	9244	1019	997
Nelson Photo News	Media	NZ	8222	1960	1972
Wallace Arts Trust		NZ	8090	1646	2019
Hamilton City Libraries	Library	NZ	7763	1940	2011
The Spinoff	Media	NZ	7521	2014	2018
Digital Public Library of America	Aggregator	US	8181	1554	2034
Archives Central	Archives	NZ	7010	1605	2013
New Zealand Plant Conservation Network		NZ	6852	1280	2018
Wikimedia Commons	Aggregator	NZ	6469	2004	2010
eqnz.chch.2010		NZ	6300	1980	2017
Christchurch Art Gallery Te Puna o Waiwhetu	Gallery	NZ	5850		
Auckland University of Technology	University	NZ	6064	2002	2014
Public Address	Media	NZ	5570	1899	2018
data.govt.nz	Government	NZ	5438	1948	2019
Dunedin Public Art Gallery	Gallery	NZ	5231	1504	2016
NZEI Te Riu Roa (New Zealand Educational Institute)	University	NZ	5119	1887	2105
NZ On Screen	Aggregator	NZ	4576	1919	2018
DigitalNZ	Aggregator	NZ	4589	2008	2017
Kete Rotorua	Community	NZ	4021	1900	2010
Directory of Open Access Journals		NZ	3808	1960	2018
Science Learning Hub		NZ	3700	2005	2018
Europeana	Aggregator	EU	3663	1728	2014
Buller, Grey and Westland District Libraries	Library	NZ	3532	1864	2013
SUPERU		NZ	3411	2001	2017
Mataura Museum	Museum	NZ	3091	1800	2018
Feilding Library	Library	NZ	2999	1100	2054
FigShare		NZ	2993	1997	2018
Kete Selwyn	Community	NZ	2796	1861	1993
Unitec		NZ	2753	1992	2018
Aotearoa People's Network Kaharoa		NZ	2553	2006	2014
Museum Victoria	Museum	AU	2390	1853	2018
New Zealand Medical Association		NZ	2292	1970	2018
Whangarei Libraries	Library	NZ	2057	1844	2018
The British Library	Library	UK	2000	2013	2015
Ngā Taonga Sound & Vision	Media	NZ	0		
HathiTrust	Aggregator	US	1827		
National Library of Australia	Library	AU	1762	1700	2010
Picture Australia		AU	1762	1700	2010
New Zealand Fashion Museum	Museum	NZ	1732	1890	2017
Ministry of Health	Government	NZ	1711	1998	2018
Kete Tasman	Community	NZ	1680	1910	1990
Reserve Bank of New Zealand	Government	NZ	1522		
Figure.NZ		NZ	0		
Hurunui District Libraries	Library	NZ	1478	1916	2009
Waikato Museum Te Whare Taonga o Waikato	Museum	NZ	1354		
Dunedin City Council Archives	Archives	NZ	1300		
AttitudeLive		NZ	1297	2007	2018
Open Polytechnic	University	UK	1279	1998	2015
State Library of Victoria	Library	AU	1229	1663	1990
LERNZdb		NZ	1193	2002	2015
