National Library of New Zealand	Newspapers	26376604
National Library of New Zealand	Images	207898
National Library of New Zealand	Articles	1452
National Library of New Zealand	Other	135
National Library of New Zealand	Videos	111
Radio New Zealand	Articles	316349
Radio New Zealand	Audio	274475
Radio New Zealand	Videos	5703
Alexander Turnbull Library	Images	243846
Alexander Turnbull Library	Other	56837
Alexander Turnbull Library	Research papers	33425
Alexander Turnbull Library	Audio	9113
Alexander Turnbull Library	Manuscripts	8097
Alexander Turnbull Library	Articles	6992
Alexander Turnbull Library	Groups	341
NatureWatch NZ	Images	314050
Auckland War Memorial Museum Tamaki Paenga Hira	Images	141929
Auckland War Memorial Museum Tamaki Paenga Hira	Archives	129603
Auckland War Memorial Museum Tamaki Paenga Hira	Videos	496
Auckland Libraries	Images	198991
Auckland Libraries	Articles	15694
Auckland Libraries	Archives	7839
Auckland Libraries	Audio	154
Auckland Libraries	Books	12
Department of Internal Affairs	Archives	202742
Victoria University of Wellington	Books	180279
Victoria University of Wellington	Research papers	6683
Victoria University of Wellington	Images	224
Victoria University of Wellington	Manuscripts	7
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Reference sources	140914
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Images	4500
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Videos	58
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Articles	12
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Data	2
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Research papers	1
UC QuakeStudies	Newspapers	82678
UC QuakeStudies	Images	44603
UC QuakeStudies	Other	7605
UC QuakeStudies	Videos	746
UC QuakeStudies	Audio	149
Puke Ariki	Images	132288
Museum of New Zealand Te Papa Tongarewa	Images	121440
Museum of New Zealand Te Papa Tongarewa	Articles	3523
Museum of New Zealand Te Papa Tongarewa	Videos	592
The University of Auckland Library	Images	70772
The University of Auckland Library	Research papers	27462
The University of Auckland Library	Books	9514
The University of Auckland Library	Archives	7476
The University of Auckland Library	Articles	6770
The University of Auckland Library	Audio	662
The University of Auckland Library	Other	4
Ministry for Culture and Heritage	Images	60575
Ministry for Culture and Heritage	Archives	30678
Ministry for Culture and Heritage	Articles	21847
Ministry for Culture and Heritage	Other	3205
Ministry for Culture and Heritage	Videos	2976
Ministry for Culture and Heritage	Audio	1273
Trove	Articles	93616
Trove	Images	23904
Nelson Provincial Museum	Images	102954
Nelson Provincial Museum	Articles	73
Upper Hutt City Library	Newspapers	51184
Upper Hutt City Library	Images	28954
Upper Hutt City Library	Other	477
TV3	Articles	79849
TV3	Images	38411
TV3	Videos	7053
TV3	Newspapers	1
Television New Zealand	Articles	65164
Television New Zealand	Videos	5972
Antarctica New Zealand	Images	54276
Antarctica New Zealand	Other	185
Antarctica New Zealand	Videos	85
Antarctica New Zealand	Audio	7
University of Otago	Images	37719
University of Otago	Research papers	6562
University of Otago	Manuscripts	599
University of Otago	Videos	53
University of Otago	Books	49
University of Otago	Other	25
New Zealand Electronic Text Collection	Images	42009
Kete Christchurch	Images	39422
Kete Christchurch	Articles	1809
Kete Christchurch	Other	212
Kete Christchurch	Videos	34
Kete Christchurch	Audio	25
Christchurch City Libraries	Images	39082
Christchurch City Libraries	Videos	5
mychillybin	Images	30556
Kete New Plymouth	Images	23726
Kete New Plymouth	Articles	3797
Kete New Plymouth	Other	2707
Kete New Plymouth	Videos	259
Kete New Plymouth	Audio	25
Kete Horowhenua	Images	23049
Kete Horowhenua	Other	2908
Kete Horowhenua	Articles	2289
Kete Horowhenua	Audio	106
Kete Horowhenua	Videos	96
Lincoln University	Images	17553
Lincoln University	Research papers	5322
Lincoln University	Articles	1617
Lincoln University	Videos	71
Lincoln University	Audio	6
Auckland Art Gallery Toi o Tāmaki	Images	15639
Auckland Art Gallery Toi o Tāmaki	Videos	5
Canterbury Museum	Images	15762
University of Waikato	Research papers	10558
University of Waikato	Archives	2012
University of Waikato	Newspapers	1816
University of Waikato	Images	1080
Wairarapa Archive	Images	15248
University of Canterbury Library	Research papers	14724
University of Canterbury Library	Archives	124
Tauranga City Libraries	Images	11582
Tauranga City Libraries	Articles	2550
Tauranga City Libraries	Other	551
Tauranga City Libraries	Audio	66
Tauranga City Libraries	Videos	27
Landcare Research	Images	12067
Landcare Research	Research papers	2174
Landcare Research	Books	300
Landcare Research	Articles	208
Gisborne Photo News	Articles	14190
Wikipedia	Articles	13274
Wikipedia	Data	894
Science Media Centre	Articles	11877
SOUNZ	Articles	8839
SOUNZ	Audio	1304
SOUNZ	Videos	850
MTG Hawke's Bay	Images	10390
Palmerston North Libraries and Community Services	Images	9979
Palmerston North Libraries and Community Services	Other	561
Palmerston North Libraries and Community Services	Articles	73
Palmerston North Libraries and Community Services	Audio	20
Palmerston North Libraries and Community Services	Videos	17
Massey University	Research papers	10307
Hutt City Council	Data	9823
South Canterbury Museum	Images	9244
Nelson Photo News	Articles	8214
Nelson Photo News	Images	8
Wallace Arts Trust	Images	8090
Hamilton City Libraries	Images	5291
Hamilton City Libraries	Articles	2061
Hamilton City Libraries	Other	240
Hamilton City Libraries	Videos	96
Hamilton City Libraries	Audio	75
The Spinoff	Articles	7521
Digital Public Library of America	Other	7006
Digital Public Library of America	Images	1173
Digital Public Library of America	Audio	1
Digital Public Library of America	Videos	1
Archives Central	Images	6347
Archives Central	Articles	660
Archives Central	Videos	3
New Zealand Plant Conservation Network	Articles	6852
Wikimedia Commons	Images	6437
Wikimedia Commons	Audio	32
