National Library of New Zealand	Modify	24880561
National Library of New Zealand	Share	24880561
National Library of New Zealand	Use commercially	21544596
National Library of New Zealand	All rights reserved	1705639
Radio New Zealand	All rights reserved	596527
Alexander Turnbull Library	Unknown	265889
Alexander Turnbull Library	All rights reserved	53561
Alexander Turnbull Library	Modify	5435
Alexander Turnbull Library	Share	5435
Alexander Turnbull Library	Use commercially	5435
NatureWatch NZ	Share	223684
NatureWatch NZ	Modify	223649
NatureWatch NZ	All rights reserved	90366
NatureWatch NZ	Use commercially	30676
Auckland War Memorial Museum Tamaki Paenga Hira	All rights reserved	243220
Auckland War Memorial Museum Tamaki Paenga Hira	Modify	28808
Auckland War Memorial Museum Tamaki Paenga Hira	Share	28808
Auckland War Memorial Museum Tamaki Paenga Hira	Use commercially	28808
Auckland Libraries	Modify	128614
Auckland Libraries	Share	128614
Auckland Libraries	Use commercially	128614
Auckland Libraries	All rights reserved	73242
Auckland Libraries	Unknown	20772
Department of Internal Affairs	Modify	202742
Department of Internal Affairs	Share	202742
Department of Internal Affairs	Use commercially	202742
Victoria University of Wellington	Share	95699
Victoria University of Wellington	Modify	95431
Victoria University of Wellington	Use commercially	94020
Victoria University of Wellington	All rights reserved	91493
Victoria University of Wellington	Unknown	1
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Modify	144468
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Share	144468
Archives New Zealand Te Rua Mahara o te Kāwanatanga	Use commercially	3554
Archives New Zealand Te Rua Mahara o te Kāwanatanga	All rights reserved	19
UC QuakeStudies	All rights reserved	101724
UC QuakeStudies	Share	34057
UC QuakeStudies	Modify	23061
UC QuakeStudies	Use commercially	1343
Puke Ariki	All rights reserved	132288
Museum of New Zealand Te Papa Tongarewa	All rights reserved	67363
Museum of New Zealand Te Papa Tongarewa	Share	58177
Museum of New Zealand Te Papa Tongarewa	Modify	32869
Museum of New Zealand Te Papa Tongarewa	Use commercially	32869
The University of Auckland Library	Share	72634
The University of Auckland Library	All rights reserved	50026
The University of Auckland Library	Modify	10867
The University of Auckland Library	Use commercially	1044
Ministry for Culture and Heritage	Share	62057
Ministry for Culture and Heritage	All rights reserved	58551
Ministry for Culture and Heritage	Modify	57460
Ministry for Culture and Heritage	Use commercially	2776
Trove	All rights reserved	111382
Trove	Share	6138
Trove	Modify	6093
Trove	Use commercially	6013
Nelson Provincial Museum	All rights reserved	103027
