Site,Content partner,Type,Country,City,URL,Description
DigitalNZ,National Library of New Zealand,Library,NZ,,,
DigitalNZ,Radio New Zealand,Media,NZ,,,
DigitalNZ,Alexander Turnbull Library,Library,NZ,,,
DigitalNZ,NatureWatch NZ,,NZ,,,
DigitalNZ,Auckland War Memorial Museum Tamaki Paenga Hira,Museum,NZ,,,
DigitalNZ,Auckland Libraries,Library,NZ,,,
DigitalNZ,Department of Internal Affairs,Government,NZ,,,
DigitalNZ,Victoria University of Wellington,University,NZ,,,
DigitalNZ,Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives,NZ,,,
DigitalNZ,UC QuakeStudies,University,NZ,,,
DigitalNZ,Puke Ariki,,NZ,,,
DigitalNZ,Museum of New Zealand Te Papa Tongarewa,Museum,NZ,,,
DigitalNZ,The University of Auckland Library,Library,NZ,,,
DigitalNZ,Ministry for Culture and Heritage,Government,NZ,,,
DigitalNZ,Trove,Aggregator,AU,,,
DigitalNZ,Nelson Provincial Museum,Museum,NZ,,,
DigitalNZ,Upper Hutt City Library,Library,NZ,,,
DigitalNZ,TV3,Media,NZ,,,
DigitalNZ,Television New Zealand,Media,NZ,,,
DigitalNZ,Antarctica New Zealand,,NZ,,,
DigitalNZ,University of Otago,University,NZ,,,
DigitalNZ,New Zealand Electronic Text Collection,Archives,NZ,,,
DigitalNZ,Kete Christchurch,Community,NZ,,,
DigitalNZ,Christchurch City Libraries,Library,NZ,,,
DigitalNZ,V.C. Browne & Son,,NZ,,,
DigitalNZ,mychillybin,Commercial,NZ,,,
DigitalNZ,Kete New Plymouth,Community,NZ,,,
DigitalNZ,Kete Horowhenua,Community,NZ,,,
DigitalNZ,Lincoln University,University,NZ,,,
DigitalNZ,Auckland Art Gallery Toi o Tāmaki,Gallery,NZ,,,
DigitalNZ,Canterbury Museum,Museum,NZ,,,
DigitalNZ,University of Waikato,University,NZ,,,
DigitalNZ,Wairarapa Archive,Archives,NZ,,,
DigitalNZ,University of Canterbury Library,Library,NZ,,,
DigitalNZ,Tauranga City Libraries,Library,NZ,,,
DigitalNZ,Landcare Research,Government,NZ,,,
DigitalNZ,Gisborne Photo News,Media,NZ,,,
DigitalNZ,Wikipedia,Aggregator,US,,,
DigitalNZ,Science Media Centre,,NZ,,,
DigitalNZ,SOUNZ,,NZ,,,
DigitalNZ,MTG Hawke's Bay,,NZ,,,
DigitalNZ,Palmerston North Libraries and Community Services,Library,NZ,,,
DigitalNZ,Massey University,University,NZ,,,
DigitalNZ,Hutt City Council,Government,NZ,,,
DigitalNZ,South Canterbury Museum,Museum,NZ,,,
DigitalNZ,Nelson Photo News,Media,NZ,,,
DigitalNZ,Wallace Arts Trust,,NZ,,,
DigitalNZ,Hamilton City Libraries,Library,NZ,,,
DigitalNZ,The Spinoff,Media,NZ,,,
DigitalNZ,Digital Public Library of America,Aggregator,US,,,
DigitalNZ,Archives Central,Archives,NZ,,,
DigitalNZ,New Zealand Plant Conservation Network,,NZ,,,
DigitalNZ,Wikimedia Commons,Aggregator,NZ,,,
DigitalNZ,eqnz.chch.2010,,NZ,,,
DigitalNZ,Christchurch Art Gallery Te Puna o Waiwhetu,Gallery,NZ,,,
DigitalNZ,Auckland University of Technology,University,NZ,,,
DigitalNZ,Public Address,Media,NZ,,,
DigitalNZ,data.govt.nz,Government,NZ,,,
